zam_prod_id;zamow_id;produkt_id;produkt_kod;kolor;product_rozmiar;cena;ilosc;nastanie;status_odbioru
254;209;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
258;212;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
259;213;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
262;216;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
265;218;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
273;224;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
277;226;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
288;234;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
303;249;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
304;250;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
313;257;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
322;262;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
326;266;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
332;271;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
336;275;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
343;280;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
349;283;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
357;289;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
364;293;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
372;299;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
384;310;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
389;313;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
390;314;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
393;315;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
401;322;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
414;332;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
419;336;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
428;343;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
431;345;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
454;366;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
462;371;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
469;377;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
477;384;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
478;385;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
493;399;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
502;408;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
505;411;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
514;418;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
520;423;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
525;427;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
529;431;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
532;433;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
534;435;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
537;437;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
549;447;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
553;448;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
555;450;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
575;464;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
580;468;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
584;470;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;2;0;0
596;481;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
604;487;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;2;0;0
608;489;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;2;0;0
616;496;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
620;500;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
622;501;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
626;504;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
627;505;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
633;511;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
635;512;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
637;514;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
645;521;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
646;522;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
651;526;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
652;527;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;74.90;1;0;0
665;538;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
669;542;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
684;554;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
31;27;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
34;29;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
39;34;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
40;35;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
50;42;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
53;45;1;Czapka KioWi z osłoną ochronną;Ciemnoniebieski;;89.90;1;0;0
3;3;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
8;8;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
14;13;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
15;14;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
18;16;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
21;18;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
22;19;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
59;50;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
61;52;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
63;53;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
65;55;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
69;58;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
71;59;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
74;61;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
75;62;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
77;64;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
79;66;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
84;70;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
86;71;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
87;72;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
88;73;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
