Wiek,Plec,Dzien,Zasięg,Wyswietlenia,"Budzet","Kliki",Zakupy,"Komenty_post","Reakcje_post","Początek okresu raportowania","Koniec okresu raportowania"
35-44,unknown,2020-11-14,8,15,0.14995289684409,2,,,,2020-11-14,2020-11-14
45-54,unknown,2020-11-14,3,3,0.029990579368818,0,,,,2020-11-14,2020-11-14
65+,male,2020-11-14,0,3,0.019993719579212,0,,,,2020-11-14,2020-11-14
55-64,male,2020-11-14,0,1,0.0099968597896059,0,,,,2020-11-14,2020-11-14
65+,female,2020-11-14,1,1,0.0099968597896059,2,,,,2020-11-14,2020-11-14
25-34,unknown,2020-11-14,6,6,0.029990579368818,0,,,,2020-11-14,2020-11-14
35-44,male,2020-11-13,4176,4448,34.997116493656,209,,3,11,2020-11-13,2020-11-13
35-44,female,2020-11-13,2348,2601,21.408236117977,171,1,2,4,2020-11-13,2020-11-13
25-34,male,2020-11-13,2860,3246,24.967942824188,203,,2,6,2020-11-13,2020-11-13
25-34,female,2020-11-13,1864,1925,16.26865958148,156,,1,1,2020-11-13,2020-11-13
45-54,male,2020-11-13,1420,1632,13.038925687922,60,,1,2,2020-11-13,2020-11-13
45-54,female,2020-11-13,868,935,7.9493450321305,61,,,1,2020-11-13,2020-11-13
25-34,unknown,2020-11-13,0,5,0.029997528423134,2,,,,2020-11-13,2020-11-13
18-24,female,2020-11-13,106,106,0.82993161970671,7,,,,2020-11-13,2020-11-13
18-24,male,2020-11-13,228,249,1.7798533531059,16,,,,2020-11-13,2020-11-13
35-44,unknown,2020-11-13,12,12,0.079993409128357,1,,,,2020-11-13,2020-11-13
45-54,unknown,2020-11-13,0,1,0.0099991761410447,0,,,,2020-11-13,2020-11-13
65+,female,2020-11-13,1,1,0.0099991761410447,0,,,,2020-11-13,2020-11-13
55-64,male,2020-11-13,0,1,0,0,,,,2020-11-13,2020-11-13
45-54,female,2020-11-12,919,919,8.0493635860542,52,,,2,2020-11-12,2020-11-12
45-54,male,2020-11-12,1499,1499,12.918978575381,72,,1,,2020-11-12,2020-11-12
35-44,female,2020-11-12,2748,2885,24.27808048067,181,,,6,2020-11-12,2020-11-12
18-24,male,2020-11-12,260,276,2.6797881255435,19,,,,2020-11-12,2020-11-12
25-34,female,2020-11-12,1624,1708,15.108805439165,169,,1,7,2020-11-12,2020-11-12
35-44,male,2020-11-12,4012,4326,36.847086726223,229,,2,11,2020-11-12,2020-11-12
25-34,male,2020-11-12,2692,2981,25.317998260732,222,,,7,2020-11-12,2020-11-12
18-24,female,2020-11-12,111,111,1.059916198909,6,,,,2020-11-12,2020-11-12
35-44,unknown,2020-11-12,4,6,0.039996837694679,1,,,,2020-11-12,2020-11-12
25-34,unknown,2020-11-12,6,6,0.02999762827101,0,,,,2020-11-12,2020-11-12
65+,female,2020-11-12,2,2,0.0099992094236699,0,,,,2020-11-12,2020-11-12
65+,unknown,2020-11-12,1,1,0.0099992094236699,0,,,,2020-11-12,2020-11-12
55-64,male,2020-11-12,0,4,0.089992884813029,0,,,,2020-11-12,2020-11-12
55-64,female,2020-11-12,0,1,0.039996837694679,0,,,,2020-11-12,2020-11-12
18-24,unknown,2020-11-12,1,1,0,0,,,,2020-11-12,2020-11-12
18-24,male,2020-11-11,184,271,2.68,19,,,1,2020-11-11,2020-11-11
18-24,female,2020-11-11,72,84,0.93,8,,,,2020-11-11,2020-11-11
45-54,male,2020-11-11,1624,1786,17.43,104,,1,4,2020-11-11,2020-11-11
35-44,male,2020-11-11,4168,4423,41.27,267,1,4,15,2020-11-11,2020-11-11
45-54,female,2020-11-11,739,739,7.57,37,,,2,2020-11-11,2020-11-11
25-34,female,2020-11-11,880,938,9.64,68,,,3,2020-11-11,2020-11-11
25-34,male,2020-11-11,2288,2530,24.15,151,,,6,2020-11-11,2020-11-11
35-44,female,2020-11-11,1780,1945,18.92,127,,,5,2020-11-11,2020-11-11
35-44,unknown,2020-11-11,8,12,0.11,0,,,,2020-11-11,2020-11-11
55-64,female,2020-11-11,0,2,0.02,1,,,,2020-11-11,2020-11-11
55-64,male,2020-11-11,0,5,0.07,0,,,,2020-11-11,2020-11-11
65+,male,2020-11-11,3,3,0.05,0,,,,2020-11-11,2020-11-11
25-34,unknown,2020-11-11,2,2,0.02,0,,,,2020-11-11,2020-11-11
45-54,unknown,2020-11-11,1,1,0.01,0,,,,2020-11-11,2020-11-11
65+,female,2020-11-11,3,3,0.03,1,,,,2020-11-11,2020-11-11
18-24,male,2020-11-10,284,363,3.12,31,,,,2020-11-10,2020-11-10
35-44,male,2020-11-10,3964,4323,35.26,239,1,1,10,2020-11-10,2020-11-10
35-44,female,2020-11-10,2212,2584,22.8,164,3,1,9,2020-11-10,2020-11-10
25-34,female,2020-11-10,1488,1542,14.07,122,,,7,2020-11-10,2020-11-10
25-34,male,2020-11-10,2764,2903,24.38,212,,,5,2020-11-10,2020-11-10
45-54,female,2020-11-10,931,931,8.26,41,,,3,2020-11-10,2020-11-10
45-54,male,2020-11-10,1572,1649,13.9,109,,4,5,2020-11-10,2020-11-10
55-64,female,2020-11-10,0,4,0.02,4,,,2,2020-11-10,2020-11-10
18-24,female,2020-11-10,120,140,1.69,14,,,,2020-11-10,2020-11-10
25-34,unknown,2020-11-10,4,6,0.06,0,,,,2020-11-10,2020-11-10
45-54,unknown,2020-11-10,3,3,0.02,0,,,,2020-11-10,2020-11-10
35-44,unknown,2020-11-10,10,10,0.1,0,,,,2020-11-10,2020-11-10
65+,female,2020-11-10,0,1,0.06,0,,,,2020-11-10,2020-11-10
55-64,male,2020-11-10,0,4,0.03,0,,,,2020-11-10,2020-11-10
65+,male,2020-11-10,0,3,0.01,0,,,,2020-11-10,2020-11-10
65+,unknown,2020-11-10,1,1,0.01,0,,,,2020-11-10,2020-11-10
25-34,female,2020-11-09,1896,2007,15.29,164,,,2,2020-11-09,2020-11-09
35-44,female,2020-11-09,3456,3573,26.55,197,,,6,2020-11-09,2020-11-09
25-34,male,2020-11-09,2864,3160,22.59,188,,2,7,2020-11-09,2020-11-09
45-54,male,2020-11-09,1636,1752,11.63,70,,,5,2020-11-09,2020-11-09
35-44,male,2020-11-09,4392,4874,32.31,223,1,3,15,2020-11-09,2020-11-09
55-64,male,2020-11-09,4,4,0.01,1,,,,2020-11-09,2020-11-09
45-54,female,2020-11-09,1257,1257,9.26,63,,,1,2020-11-09,2020-11-09
35-44,unknown,2020-11-09,8,14,0.07,0,,,,2020-11-09,2020-11-09
18-24,female,2020-11-09,164,177,1.64,19,,,,2020-11-09,2020-11-09
18-24,male,2020-11-09,320,342,2.54,31,,,,2020-11-09,2020-11-09
25-34,unknown,2020-11-09,5,5,0.01,0,,,,2020-11-09,2020-11-09
65+,female,2020-11-09,0,1,0,0,,,,2020-11-09,2020-11-09
65+,male,2020-11-09,3,3,0.02,0,,,,2020-11-09,2020-11-09
65+,unknown,2020-11-09,1,1,0,0,,,,2020-11-09,2020-11-09
45-54,unknown,2020-11-09,0,4,0.03,0,,,,2020-11-09,2020-11-09
45-54,female,2020-11-08,1192,1272,9.31,73,,2,2,2020-11-08,2020-11-08
25-34,male,2020-11-08,3188,3464,23,202,,2,6,2020-11-08,2020-11-08
45-54,male,2020-11-08,1736,1958,13.92,107,,1,6,2020-11-08,2020-11-08
35-44,male,2020-11-08,5060,5614,34.93,268,,2,8,2020-11-08,2020-11-08
25-34,female,2020-11-08,1969,1969,14.62,150,,,1,2020-11-08,2020-11-08
18-24,male,2020-11-08,180,209,1.37,17,,,,2020-11-08,2020-11-08
35-44,female,2020-11-08,3596,3929,25.99,220,,,7,2020-11-08,2020-11-08
18-24,female,2020-11-08,106,106,0.71,3,,,,2020-11-08,2020-11-08
25-34,unknown,2020-11-08,8,8,0.05,0,,,,2020-11-08,2020-11-08
35-44,unknown,2020-11-08,20,23,0.14,0,,,,2020-11-08,2020-11-08
45-54,unknown,2020-11-08,4,4,0.03,0,,,,2020-11-08,2020-11-08
55-64,male,2020-11-08,0,5,0.08,0,,,,2020-11-08,2020-11-08
65+,male,2020-11-08,0,1,0,0,,,,2020-11-08,2020-11-08
65+,female,2020-11-08,0,3,0.02,1,,,,2020-11-08,2020-11-08
18-24,male,2020-11-07,220,259,2.23,11,,,2,2020-11-07,2020-11-07
25-34,male,2020-11-07,2780,3231,25.58,257,,2,8,2020-11-07,2020-11-07
35-44,male,2020-11-07,4076,4496,34.2,245,,1,11,2020-11-07,2020-11-07
45-54,male,2020-11-07,1408,1529,12.82,96,,1,2,2020-11-07,2020-11-07
25-34,female,2020-11-07,2004,2114,16.92,153,,1,2,2020-11-07,2020-11-07
45-54,female,2020-11-07,1088,1088,8.74,62,,,3,2020-11-07,2020-11-07
18-24,female,2020-11-07,92,123,1.13,11,,,,2020-11-07,2020-11-07
35-44,female,2020-11-07,3336,3485,26.54,257,1,,8,2020-11-07,2020-11-07
35-44,unknown,2020-11-07,13,13,0.15,2,,,,2020-11-07,2020-11-07
65+,female,2020-11-07,0,4,0.07,1,,,,2020-11-07,2020-11-07
65+,male,2020-11-07,0,1,0,0,,,,2020-11-07,2020-11-07
55-64,male,2020-11-07,0,5,0.09,0,,,,2020-11-07,2020-11-07
55-64,female,2020-11-07,0,1,0,0,,,,2020-11-07,2020-11-07
45-54,unknown,2020-11-07,0,1,0,0,,,,2020-11-07,2020-11-07
25-34,unknown,2020-11-07,4,5,0.05,0,,,,2020-11-07,2020-11-07
35-44,male,2020-11-06,4736,5174,35.792826790933,289,,3,4,2020-11-06,2020-11-06
18-24,male,2020-11-06,260,317,2.4101903483137,26,,,,2020-11-06,2020-11-06
25-34,female,2020-11-06,2044,2223,15.751243977569,124,,,1,2020-11-06,2020-11-06
35-44,female,2020-11-06,3500,3806,26.58209936024,223,1,,5,2020-11-06,2020-11-06
45-54,male,2020-11-06,1700,1786,12.590994392228,95,,,2,2020-11-06,2020-11-06
45-54,female,2020-11-06,1152,1187,8.980709264671,73,,,2,2020-11-06,2020-11-06
25-34,male,2020-11-06,2860,3245,22.681791327699,199,,,5,2020-11-06,2020-11-06
18-24,female,2020-11-06,164,164,1.5601232130163,15,1,,1,2020-11-06,2020-11-06
45-54,unknown,2020-11-06,3,3,0.030002369481084,0,,,,2020-11-06,2020-11-06
35-44,unknown,2020-11-06,16,20,0.13001026775136,1,,,,2020-11-06,2020-11-06
55-64,female,2020-11-06,0,2,0.010000789827028,0,,,,2020-11-06,2020-11-06
55-64,male,2020-11-06,4,4,0.060004738962167,0,,,,2020-11-06,2020-11-06
65+,male,2020-11-06,0,2,0.010000789827028,0,,,,2020-11-06,2020-11-06
65+,female,2020-11-06,0,1,0.010000789827028,0,,,,2020-11-06,2020-11-06
18-24,unknown,2020-11-06,1,1,0,0,,,,2020-11-06,2020-11-06
25-34,unknown,2020-11-06,0,3,0.020001579654056,0,,,,2020-11-06,2020-11-06
18-24,female,2020-11-05,144,144,1.12,13,,,,2020-11-05,2020-11-05
25-34,male,2020-11-05,2760,2977,20.31,182,1,1,3,2020-11-05,2020-11-05
35-44,female,2020-11-05,3800,3833,25.31,206,,1,8,2020-11-05,2020-11-05
35-44,male,2020-11-05,4936,5589,36.91,334,1,4,12,2020-11-05,2020-11-05
45-54,female,2020-11-05,1348,1392,10.21,87,,,,2020-11-05,2020-11-05
25-34,female,2020-11-05,1824,1952,13.35,140,,1,,2020-11-05,2020-11-05
45-54,male,2020-11-05,1732,1894,13.75,115,,,3,2020-11-05,2020-11-05
18-24,male,2020-11-05,236,287,2,18,,,,2020-11-05,2020-11-05
25-34,unknown,2020-11-05,0,4,0.02,0,,,,2020-11-05,2020-11-05
55-64,male,2020-11-05,5,5,0.05,0,,,,2020-11-05,2020-11-05
65+,unknown,2020-11-05,1,1,0.01,0,,,,2020-11-05,2020-11-05
65+,male,2020-11-05,4,6,0.03,0,,,,2020-11-05,2020-11-05
65+,female,2020-11-05,1,1,0,0,,,,2020-11-05,2020-11-05
55-64,female,2020-11-05,0,1,0.04,0,,,,2020-11-05,2020-11-05
45-54,unknown,2020-11-05,0,2,0.01,0,,,,2020-11-05,2020-11-05
35-44,unknown,2020-11-05,4,15,0.13,0,,,,2020-11-05,2020-11-05
45-54,female,2020-11-04,1108,1120,7.41,66,,,1,2020-11-04,2020-11-04
18-24,male,2020-11-04,256,311,1.89,31,,,1,2020-11-04,2020-11-04
45-54,male,2020-11-04,1708,1799,11.23,116,,1,4,2020-11-04,2020-11-04
25-34,male,2020-11-04,3212,3601,21.6,264,1,,3,2020-11-04,2020-11-04
35-44,male,2020-11-04,5208,5573,33.89,372,2,5,9,2020-11-04,2020-11-04
35-44,female,2020-11-04,4396,4578,27.8,312,2,2,7,2020-11-04,2020-11-04
25-34,female,2020-11-04,2876,3036,18.14,272,,2,6,2020-11-04,2020-11-04
18-24,female,2020-11-04,202,202,1.41,24,,,,2020-11-04,2020-11-04
45-54,unknown,2020-11-04,0,2,0,0,,,,2020-11-04,2020-11-04
55-64,female,2020-11-04,0,3,0.02,0,,,,2020-11-04,2020-11-04
55-64,male,2020-11-04,4,7,0.09,0,,,,2020-11-04,2020-11-04
65+,male,2020-11-04,4,10,0.02,0,,,,2020-11-04,2020-11-04
25-34,unknown,2020-11-04,4,4,0.02,0,,,,2020-11-04,2020-11-04
35-44,unknown,2020-11-04,8,16,0.1,0,,,,2020-11-04,2020-11-04
18-24,female,2020-11-03,168,218,1.45,15,,,,2020-11-03,2020-11-03
35-44,female,2020-11-03,4340,4633,26.18,327,,1,7,2020-11-03,2020-11-03
25-34,male,2020-11-03,3324,3866,21.62,286,,2,5,2020-11-03,2020-11-03
45-54,male,2020-11-03,1636,1754,11.18,125,1,,2,2020-11-03,2020-11-03
45-54,female,2020-11-03,1352,1365,8.65,88,,,3,2020-11-03,2020-11-03
35-44,male,2020-11-03,5272,5858,33.23,383,2,4,11,2020-11-03,2020-11-03
25-34,female,2020-11-03,2868,3286,18.9,278,1,,1,2020-11-03,2020-11-03
65+,male,2020-11-03,8,9,0.06,0,,,,2020-11-03,2020-11-03
35-44,unknown,2020-11-03,16,27,0.14,0,,,,2020-11-03,2020-11-03
45-54,unknown,2020-11-03,0,3,0.02,0,,,,2020-11-03,2020-11-03
55-64,female,2020-11-03,0,1,0.01,0,,,,2020-11-03,2020-11-03
65+,female,2020-11-03,1,1,0,0,,,,2020-11-03,2020-11-03
65+,unknown,2020-11-03,4,4,0.02,0,,,,2020-11-03,2020-11-03
25-34,unknown,2020-11-03,4,4,0.03,0,,,,2020-11-03,2020-11-03
55-64,male,2020-11-03,4,5,0.07,1,,,,2020-11-03,2020-11-03
18-24,male,2020-11-03,304,324,1.75,33,,,,2020-11-03,2020-11-03
65+,female,2020-11-02,0,4,0.05,0,,,,2020-11-02,2020-11-02
25-34,female,2020-11-02,4032,4240,34.41,296,,,3,2020-11-02,2020-11-02
45-54,male,2020-11-02,2072,2134,13.52,90,,,4,2020-11-02,2020-11-02
65+,male,2020-11-02,6,6,0.04,0,,,,2020-11-02,2020-11-02
25-34,male,2020-11-02,4320,4635,35.72,273,,1,4,2020-11-02,2020-11-02
35-44,male,2020-11-02,6456,7088,45.88,394,1,3,9,2020-11-02,2020-11-02
35-44,female,2020-11-02,5960,6527,43.58,429,,2,15,2020-11-02,2020-11-02
45-54,female,2020-11-02,1808,1869,12.77,127,,,5,2020-11-02,2020-11-02
18-24,male,2020-11-02,481,481,4.94,17,,,,2020-11-02,2020-11-02
35-44,unknown,2020-11-02,24,30,0.19,3,,,,2020-11-02,2020-11-02
18-24,female,2020-11-02,456,462,4.21,22,,,,2020-11-02,2020-11-02
45-54,unknown,2020-11-02,4,4,0.05,0,,,,2020-11-02,2020-11-02
25-34,unknown,2020-11-02,0,9,0.1,0,,,,2020-11-02,2020-11-02
18-24,unknown,2020-11-02,0,2,0.01,0,,,,2020-11-02,2020-11-02
65+,unknown,2020-11-02,0,1,0,0,,,,2020-11-02,2020-11-02
55-64,male,2020-11-02,0,2,0.02,0,,,,2020-11-02,2020-11-02
18-24,female,2020-11-01,397,397,3.84,7,,,1,2020-11-01,2020-11-01
25-34,female,2020-11-01,3496,3785,31.23,211,,,4,2020-11-01,2020-11-01
45-54,female,2020-11-01,2208,2257,15.56,112,1,,2,2020-11-01,2020-11-01
35-44,male,2020-11-01,8064,8698,49.87,442,,2,8,2020-11-01,2020-11-01
45-54,male,2020-11-01,2560,2676,15.91,124,,1,2,2020-11-01,2020-11-01
25-34,unknown,2020-11-01,0,4,0.03,1,,,,2020-11-01,2020-11-01
25-34,male,2020-11-01,4328,4911,38.12,249,,3,3,2020-11-01,2020-11-01
35-44,female,2020-11-01,6768,7576,47.41,427,,,12,2020-11-01,2020-11-01
35-44,unknown,2020-11-01,16,27,0.14,1,,,,2020-11-01,2020-11-01
18-24,male,2020-11-01,336,430,3.99,15,,,1,2020-11-01,2020-11-01
65+,male,2020-11-01,0,26,0.06,1,,,,2020-11-01,2020-11-01
18-24,unknown,2020-11-01,1,1,0.01,0,,,,2020-11-01,2020-11-01
45-54,unknown,2020-11-01,6,6,0.05,0,,,,2020-11-01,2020-11-01
55-64,male,2020-11-01,0,2,0.04,0,,,,2020-11-01,2020-11-01
65+,female,2020-11-01,0,3,0.01,0,,,,2020-11-01,2020-11-01
55-64,female,2020-11-01,0,1,0.01,0,,,,2020-11-01,2020-11-01
35-44,unknown,2020-10-31,4,23,0.29,6,,,,2020-10-31,2020-10-31
35-44,female,2020-10-31,5060,5483,46.61,352,,1,8,2020-10-31,2020-10-31
18-24,male,2020-10-31,304,336,3.82,14,,,1,2020-10-31,2020-10-31
45-54,female,2020-10-31,1639,1639,13.93,120,,,5,2020-10-31,2020-10-31
45-54,male,2020-10-31,1796,1976,14.77,93,1,,2,2020-10-31,2020-10-31
35-44,male,2020-10-31,5536,6134,46.93,363,1,4,7,2020-10-31,2020-10-31
25-34,male,2020-10-31,3652,3990,39.58,242,,1,8,2020-10-31,2020-10-31
25-34,female,2020-10-31,3440,3606,37.64,248,,,6,2020-10-31,2020-10-31
65+,male,2020-10-31,4,7,0.04,0,,,,2020-10-31,2020-10-31
18-24,female,2020-10-31,352,382,4.94,14,,,2,2020-10-31,2020-10-31
45-54,unknown,2020-10-31,0,4,0.01,0,,,,2020-10-31,2020-10-31
25-34,unknown,2020-10-31,7,7,0.05,0,,,,2020-10-31,2020-10-31
55-64,female,2020-10-31,0,3,0.05,0,,,,2020-10-31,2020-10-31
65+,female,2020-10-31,0,3,0.05,0,,,,2020-10-31,2020-10-31
55-64,male,2020-10-31,4,12,0.19,0,,,,2020-10-31,2020-10-31
18-24,unknown,2020-10-31,0,1,0.03,0,,,,2020-10-31,2020-10-31
25-34,unknown,2020-10-30,11,11,0.12,1,,,,2020-10-30,2020-10-30
35-44,female,2020-10-30,4556,4838,44.02,281,2,1,8,2020-10-30,2020-10-30
45-54,female,2020-10-30,1388,1395,12.51,97,,1,4,2020-10-30,2020-10-30
35-44,male,2020-10-30,5020,5650,46.35,290,1,1,14,2020-10-30,2020-10-30
25-34,male,2020-10-30,3496,3975,38.82,236,,1,3,2020-10-30,2020-10-30
25-34,female,2020-10-30,3441,3441,36.4,234,1,,3,2020-10-30,2020-10-30
45-54,male,2020-10-30,1684,1891,15.77,108,,,6,2020-10-30,2020-10-30
18-24,male,2020-10-30,284,315,3.91,22,,,,2020-10-30,2020-10-30
35-44,unknown,2020-10-30,12,13,0.12,1,,,,2020-10-30,2020-10-30
18-24,female,2020-10-30,308,354,5.02,13,,,1,2020-10-30,2020-10-30
65+,female,2020-10-30,0,9,0.05,1,,,,2020-10-30,2020-10-30
55-64,male,2020-10-30,4,5,0.1,1,,,,2020-10-30,2020-10-30
55-64,female,2020-10-30,0,2,0.04,0,,,,2020-10-30,2020-10-30
65+,male,2020-10-30,8,9,0.1,0,,,,2020-10-30,2020-10-30
45-54,unknown,2020-10-30,0,2,0.02,0,,,,2020-10-30,2020-10-30
18-24,unknown,2020-10-30,0,1,0,0,,,,2020-10-30,2020-10-30
25-34,male,2020-10-29,3608,3639,39.37,227,1,3,4,2020-10-29,2020-10-29
35-44,male,2020-10-29,4536,5080,44.02,259,,2,9,2020-10-29,2020-10-29
65+,male,2020-10-29,4,9,0.05,2,,,,2020-10-29,2020-10-29
45-54,male,2020-10-29,1512,1746,15.35,108,,2,3,2020-10-29,2020-10-29
18-24,female,2020-10-29,409,409,6.38,14,,,,2020-10-29,2020-10-29
35-44,female,2020-10-29,4784,5081,46.07,332,,,9,2020-10-29,2020-10-29
25-34,female,2020-10-29,3544,3747,41.13,206,,,6,2020-10-29,2020-10-29
45-54,unknown,2020-10-29,0,1,0.01,0,,,,2020-10-29,2020-10-29
18-24,male,2020-10-29,300,326,4.31,14,,,,2020-10-29,2020-10-29
25-34,unknown,2020-10-29,4,5,0.05,0,,,,2020-10-29,2020-10-29
35-44,unknown,2020-10-29,8,15,0.14,0,,,,2020-10-29,2020-10-29
55-64,male,2020-10-29,0,2,0.15,0,,,,2020-10-29,2020-10-29
18-24,unknown,2020-10-29,0,2,0.02,0,,,,2020-10-29,2020-10-29
45-54,female,2020-10-29,1566,1566,14.4,86,,,2,2020-10-29,2020-10-29
35-44,male,2020-10-28,4412,4868,40.22,300,,4,7,2020-10-28,2020-10-28
45-54,female,2020-10-28,1688,1700,15.4,97,,,5,2020-10-28,2020-10-28
45-54,male,2020-10-28,1448,1633,13.58,85,4,,1,2020-10-28,2020-10-28
35-44,female,2020-10-28,4976,5220,44.02,347,2,1,8,2020-10-28,2020-10-28
25-34,female,2020-10-28,3764,3946,42.04,277,1,2,4,2020-10-28,2020-10-28
25-34,male,2020-10-28,3444,3801,38.01,223,,2,2,2020-10-28,2020-10-28
18-24,male,2020-10-28,324,428,5,25,,,1,2020-10-28,2020-10-28
25-34,unknown,2020-10-28,7,7,0.11,1,,,,2020-10-28,2020-10-28
18-24,female,2020-10-28,432,462,5.77,19,,,1,2020-10-28,2020-10-28
55-64,male,2020-10-28,7,7,0.2,1,,,,2020-10-28,2020-10-28
35-44,unknown,2020-10-28,12,12,0.1,0,,,,2020-10-28,2020-10-28
45-54,unknown,2020-10-28,6,6,0.03,0,,,,2020-10-28,2020-10-28
65+,male,2020-10-28,2,2,0,0,,,,2020-10-28,2020-10-28
65+,female,2020-10-28,2,2,0.02,0,,,,2020-10-28,2020-10-28
55-64,female,2020-10-28,0,2,0.02,0,,,,2020-10-28,2020-10-28
25-34,unknown,2020-10-27,8,14,0.16,2,,,,2020-10-27,2020-10-27
45-54,male,2020-10-27,1616,1692,13.16,96,,3,6,2020-10-27,2020-10-27
55-64,male,2020-10-27,4,4,0.03,3,,,,2020-10-27,2020-10-27
18-24,female,2020-10-27,496,524,6.13,23,,,,2020-10-27,2020-10-27
35-44,female,2020-10-27,4980,5231,42.52,370,,,13,2020-10-27,2020-10-27
45-54,female,2020-10-27,1664,1732,14.85,122,,,3,2020-10-27,2020-10-27
25-34,male,2020-10-27,3520,4033,37.12,238,1,,11,2020-10-27,2020-10-27
18-24,male,2020-10-27,324,356,3.93,21,,,,2020-10-27,2020-10-27
35-44,male,2020-10-27,4840,5390,40.15,373,,2,14,2020-10-27,2020-10-27
25-34,female,2020-10-27,4144,4262,44.37,336,,1,8,2020-10-27,2020-10-27
35-44,unknown,2020-10-27,18,18,0.26,1,,,,2020-10-27,2020-10-27
45-54,unknown,2020-10-27,2,2,0.03,0,,,,2020-10-27,2020-10-27
65+,female,2020-10-27,0,2,0.01,0,,,,2020-10-27,2020-10-27
65+,male,2020-10-27,4,4,0.13,0,,,,2020-10-27,2020-10-27
55-64,female,2020-10-27,3,3,0.04,0,,,,2020-10-27,2020-10-27
45-54,female,2020-10-26,1331,1331,11.279455282982,97,,,5,2020-10-26,2020-10-26
45-54,male,2020-10-26,1576,1838,14.119318137918,108,1,1,7,2020-10-26,2020-10-26
25-34,female,2020-10-26,3972,4142,44.12786893954,269,1,2,6,2020-10-26,2020-10-26
35-44,female,2020-10-26,4600,4859,42.497947653081,301,,1,9,2020-10-26,2020-10-26
25-34,male,2020-10-26,3952,4363,39.458094456249,318,1,1,7,2020-10-26,2020-10-26
18-24,female,2020-10-26,532,588,6.5596832142167,20,,1,1,2020-10-26,2020-10-26
35-44,unknown,2020-10-26,16,20,0.17999130770717,1,,,,2020-10-26,2020-10-26
35-44,male,2020-10-26,5424,6084,44.347858315627,392,3,3,12,2020-10-26,2020-10-26
18-24,male,2020-10-26,360,425,4.2997923507823,18,,,1,2020-10-26,2020-10-26
45-54,unknown,2020-10-26,6,6,0.049997585474213,0,,,,2020-10-26,2020-10-26
25-34,unknown,2020-10-26,4,7,0.049997585474213,0,,,,2020-10-26,2020-10-26
65+,female,2020-10-26,1,1,0.029998551284528,0,,,,2020-10-26,2020-10-26
55-64,female,2020-10-26,2,2,0,0,,,,2020-10-26,2020-10-26
65+,male,2020-10-26,3,3,0.049997585474213,0,,,,2020-10-26,2020-10-26
55-64,male,2020-10-26,3,3,0.0099995170948426,0,,,,2020-10-26,2020-10-26
18-24,unknown,2020-10-26,0,1,0.0099995170948426,0,,,,2020-10-26,2020-10-26
35-44,female,2020-10-25,7192,7940,59.55,684,,1,14,2020-10-25,2020-10-25
25-34,male,2020-10-25,4904,5288,50.45,390,,2,6,2020-10-25,2020-10-25
45-54,female,2020-10-25,2008,2207,17.38,148,,,8,2020-10-25,2020-10-25
25-34,female,2020-10-25,4336,4684,45.19,415,,7,10,2020-10-25,2020-10-25
18-24,male,2020-10-25,672,682,8.19,29,,1,2,2020-10-25,2020-10-25
45-54,male,2020-10-25,2384,2526,19.12,189,2,2,7,2020-10-25,2020-10-25
35-44,male,2020-10-25,7264,8045,58.33,641,1,2,18,2020-10-25,2020-10-25
55-64,female,2020-10-25,4,4,0.09,0,,,,2020-10-25,2020-10-25
18-24,female,2020-10-25,456,635,7.3,35,,,1,2020-10-25,2020-10-25
45-54,unknown,2020-10-25,0,3,0.01,0,,,,2020-10-25,2020-10-25
65+,female,2020-10-25,0,2,0.01,0,,,,2020-10-25,2020-10-25
25-34,unknown,2020-10-25,8,11,0.12,0,,,,2020-10-25,2020-10-25
18-24,unknown,2020-10-25,2,2,0.03,0,,,,2020-10-25,2020-10-25
35-44,unknown,2020-10-25,32,32,0.2,1,,,,2020-10-25,2020-10-25
25-34,male,2020-10-24,3020,3345,39.258265441371,279,,1,11,2020-10-24,2020-10-24
35-44,male,2020-10-24,4800,5185,50.367774586905,433,1,3,15,2020-10-24,2020-10-24
25-34,female,2020-10-24,3372,3470,39.518253954228,329,1,1,6,2020-10-24,2020-10-24
18-24,unknown,2020-10-24,0,1,0.0099995581867986,0,,,,2020-10-24,2020-10-24
45-54,unknown,2020-10-24,0,3,0.029998674560396,0,,,,2020-10-24,2020-10-24
25-34,unknown,2020-10-24,0,7,0.23998939648317,2,,,,2020-10-24,2020-10-24
35-44,unknown,2020-10-24,28,30,0.7599664221967,1,,,,2020-10-24,2020-10-24
18-24,male,2020-10-24,420,450,7.0396889635062,23,,,1,2020-10-24,2020-10-24
45-54,female,2020-10-24,1624,1735,15.149330653,143,,1,5,2020-10-24,2020-10-24
35-44,female,2020-10-24,5368,5814,51.897706989485,526,,4,14,2020-10-24,2020-10-24
45-54,male,2020-10-24,1616,1708,15.869298842449,142,,1,6,2020-10-24,2020-10-24
18-24,female,2020-10-24,396,450,6.159727843068,26,,,1,2020-10-24,2020-10-24
55-64,female,2020-10-24,0,1,0,0,,,,2020-10-24,2020-10-24
65+,female,2020-10-24,0,2,0.019999116373597,0,,,,2020-10-24,2020-10-24
65+,male,2020-10-24,1,1,0.0099995581867986,0,,,,2020-10-24,2020-10-24
45-54,male,2020-10-23,1472,1615,14.34,107,,,3,2020-10-23,2020-10-23
45-54,unknown,2020-10-23,0,2,0.06,1,,,,2020-10-23,2020-10-23
